State,State Name,NAICS,NAICS Description,Enterprise Size,Establishments 2018,Establishments 2019,Establishments 2020,Employment 2018,Employment 2019,Employment 2020,2018-2019 Establishments percent change,2019-2020 Establishments percent change,2018-2019 Employment percent change,2019-2020 Employment percent change,2018 population,2019 population,2020 population,2018 employment/population,2019 employment/population,2020 employment/population,2018-2019 employment/population percent change,2019-2020 employment/population percent change
00,United States,448210,Shoe Stores,01: Total,"23,360","22,569","21,996","239,501","222,520","211,381",-0.03386130137,-0.02538880766,-0.0763122416,-0.05269631613,"326,838,199","328,329,953","329,484,123",0.0007327815437,0.0006777328659,0.0006415513988,-0.07512290435,-0.05338602992
01,Alabama,448210,Shoe Stores,01: Total,370,360,355,"3,268","3,457","3,086",-0.02702702703,-0.01388888889,0.05467168065,-0.12022035,"4,891,628","4,907,965","4,921,532",0.0006680802383,0.0007043652512,0.0006270405232,0.05431235768,-0.1097793054
02,Alaska,448210,Shoe Stores,01: Total,35,36,35,246,259,225,0.02857142857,-0.02777777778,0.05019305019,-0.1511111111,"736,624","733,603","731,158",0.0003339559938,0.0003530519913,0.0003077310239,0.05718117913,-0.1283691029
04,Arizona,448210,Shoe Stores,01: Total,423,393,385,"4,117","3,522","3,341",-0.07092198582,-0.0203562341,-0.1689381034,-0.05417539659,"7,164,228","7,291,843","7,421,401",0.0005746606613,0.0004830054624,0.0004501845406,-0.1594944722,-0.06795145052
05,Arkansas,448210,Shoe Stores,01: Total,199,199,194,"1,548","1,647","1,468",0,-0.02512562814,0.06010928962,-0.1219346049,"3,012,161","3,020,985","3,030,522",0.0005139167528,0.000545186421,0.0004844049969,0.0608457849,-0.1114874138
06,California,448210,Shoe Stores,01: Total,"2,802","2,676","2,603","32,991","29,935","28,040",-0.04496788009,-0.02727952167,-0.102087857,-0.06758202568,"39,437,463","39,437,610","39,368,078",0.0008365396121,0.0007590470112,0.0007122521958,-0.09263470583,-0.06164942978
08,Colorado,448210,Shoe Stores,01: Total,338,348,338,"3,049","3,063","2,886",0.02958579882,-0.02873563218,0.004570682338,-0.06133056133,"5,697,155","5,758,486","5,807,719",0.0005351794009,0.0005319106446,0.0004969248684,-0.006107776891,-0.06577378454
09,Connecticut,448210,Shoe Stores,01: Total,248,240,240,"2,503","2,364","2,277",-0.03225806452,0,-0.05879864636,-0.03820816864,"3,574,561","3,566,022","3,557,006",0.0007002258459,0.0006629235602,0.0006401451108,-0.05327179214,-0.03436059716
10,Delaware,448210,Shoe Stores,01: Total,94,87,86,909,810,799,-0.07446808511,-0.01149425287,-0.1222222222,-0.01376720901,"966,985","976,668","986,809",0.0009400352642,0.0008293504036,0.0008096804954,-0.1177454345,-0.0237172468
11,District of Columbia,448210,Shoe Stores,01: Total,56,50,48,604,439,400,-0.1071428571,-0.04,-0.3758542141,-0.0975,"704,147","708,253","712,816",0.0008577754361,0.0006198350025,0.0005611546318,-0.2773924545,-0.0946709535
